Gender , Area ,Faculty,College_Location ,father_edu,mother_edu,father_occ,mother_occ,income,attendance,lecture_attendance,assignment_submit,teacher_help,study_hours,study_management,study_method,Percentage,internal_performance,Backlogs,internet_access,online_platforms_usage,responsibilities_affect_study,Challenge_1,Challenge_2,Challenge_3,Challenge_4,Challenge_5,Challenge_6,Challenge_Score,distraction,parent_support,Motivation_1,Motivation_2,Motivation_3,Motivation_4,Motivation_5,Motivation_6,Motivation_Score ,Stress,family_pressure,Sleep_Hours,support_needed
1,0,Arts,0,1,1,Unemployed (not currently working),Unemployed (not currently working),1,3,2,3,1,1,1, Group study,78,1,2,1,4,4,4,3,4,2,4,2,19," Mobile / TV / Laptop   Friends  Lack of interest  Social media (WhatsApp, Instagram, etc.) ",0,3,2,1,2,3,2,13,1,4,4, Time management tips 
1,0,Management,0,4,3,Government employee,Daily wage labourer,1,2,2,2,3,3,3, Online tutorials,80,2,0,2,4,1,0,0,0,0,0,0,0," Mobile / TV / Laptop   Friends  Social media (WhatsApp, Instagram, etc.) ",1,0,0,0,0,0,0,0,2,2,3, Extra classes  Study materials 
2,1,Commerce,1,2,2,Daily wage labourer,Government employee,3,3,1,2,4,1,3, Self-study,70,2,1,4,3,3,0,1,2,1,0,1,5, Mobile / TV / Laptop   Friends ,1,1,0,1,0,1,0,3,2,1,2, Extra classes 
1,1,Management,1,3,3,Government employee,Business,3,3,4,4,4,4,4, Note-taking Group study Self-study,80.46,3,0,4,4,1,2,1,2,1,2,1,9," Mobile / TV / Laptop   Social media (WhatsApp, Instagram, etc.) ",1,3,3,2,2,3,2,15,2,2,3, Study materials  Time management tips  Group study discussions  Career guidance  More interactive teaching 
0,1,Commerce,0,5,4,Farmer,Farmer,3,3,3,3,2,2,3, Group study,75,0,0,3,2,5,0,1,0,0,0,0,1, Mobile / TV / Laptop  ,1,0,0,0,1,0,0,1,2,3,2, Study materials 
0,0,Science,0,3,3,Farmer,Unemployed (not currently working),2,2,3,4,3,2,4, Group study Self-study Online tutorials,68,2,0,2,3,1,1,2,3,2,1,2,11," Mobile / TV / Laptop   Friends  Family responsibilities  Lack of interest  Social media (WhatsApp, Instagram, etc.)  Health issues ",1,1,3,2,2,3,4,15,3,2,3, Extra classes  Personal counselling  Study materials  Time management tips  Group study discussions  Career guidance 
0,1,Management,1,4,3,Daily wage labourer,Unemployed (not currently working),2,3,4,4,4,3,4, Note-taking Self-study Online tutorials,92,3,0,4,4,2,0,1,1,1,0,0,3," Mobile / TV / Laptop   Social media (WhatsApp, Instagram, etc.) ",1,4,4,3,3,3,3,20,2,1,3, Time management tips 
1,0,Commerce,1,2,1,Daily wage labourer,Unemployed (not currently working),1,2,2,2,2,1,2, Self-study Online tutorials,65,1,1,2,4,3,3,1,2,1,4,1,12, Mobile / TV / Laptop   Lack of interest ,1,3,3,1,0,1,2,10,3,2,3, Personal counselling  Time management tips 
1,1,Commerce,1,4,3,Private sector job,Private sector job,2,1,3,2,3,2,2, Self-study,85,2,0,3,4,3,0,2,1,3,3,3,12, Friends  Family responsibilities ,1,0,1,2,3,4,1,11,2,2,3, Study materials  Time management tips  Group study discussions 
1,0,Science,1,3,2,Farmer,Unemployed (not currently working),1,3,3,3,2,2,3, Online tutorials,66.17,1,0,4,4,1,1,0,3,2,1,0,7," Mobile / TV / Laptop   Lack of interest  Social media (WhatsApp, Instagram, etc.) ",1,4,3,2,2,4,0,15,2,2,3, Extra classes  Personal counselling  Study materials  Group study discussions  Career guidance  More interactive teaching 
1,0,Management,1,4,3,Government employee,Private sector job,2,2,2,4,3,2,3, Group study,75,2,1,4,3,3,2,0,1,2,3,1,9, Mobile / TV / Laptop   Friends ,1,4,4,3,2,1,1,15,2,3,3, Personal counselling  Study materials 
1,1,Arts,1,2,2,Farmer,Unemployed (not currently working),1,1,1,3,3,3,3, Self-study Online tutorials,75,1,0,2,3,3,2,1,2,0,3,2,10," Mobile / TV / Laptop   Friends  Lack of interest  Social media (WhatsApp, Instagram, etc.) ",1,3,3,2,1,2,3,14,3,1,4, Time management tips  Group study discussions  Career guidance 
0,1,Commerce,1,4,3,Private sector job,Private sector job,2,1,2,3,3,2,2, Group study,75,2,0,4,2,4,4,2,1,2,2,1,12, Family responsibilities ,1,4,1,3,1,2,1,12,2,1,2, Study materials 
1,0,Commerce,1,2,3,Farmer,Unemployed (not currently working),1,2,2,3,3,2,2, Self-study,70,1,0,2,4,2,1,1,1,1,1,2,7, Mobile / TV / Laptop  ,1,3,3,2,2,3,3,16,3,2,3, Extra classes  Study materials 
1,0,Commerce,1,4,4,Farmer,Unemployed (not currently working),1,2,3,4,2,1,2, Group study Self-study Online tutorials,70,1,0,3,2,3,2,1,2,1,2,3,11," Friends  Social media (WhatsApp, Instagram, etc.) ",1,3,4,3,2,1,1,14,3,3,3, Career guidance 
0,1,Commerce,1,3,3,Private sector job,Government employee,2,3,3,3,3,4,4, Self-study Online tutorials,95,3,0,4,4,1,0,0,2,0,2,1,5, Mobile / TV / Laptop   Friends ,1,4,3,4,0,2,0,13,2,1,4, Extra classes  More interactive teaching 
1,1,Management,1,4,4,Government employee,Unemployed (not currently working),3,2,2,2,1,1,1, Self-study Online tutorials,60,1,1,2,3,1,0,0,4,0,4,2,10, Mobile / TV / Laptop   Friends ,1,2,3,1,1,4,0,11,2,1,4, Time management tips  More interactive teaching 
0,1,Management,1,3,3,Daily wage labourer,Daily wage labourer,1,2,3,2,2,2,2, Group study Self-study,68,2,0,3,3,2,0,0,0,1,1,0,2, Mobile / TV / Laptop   Friends  Family responsibilities ,1,1,1,1,1,1,0,5,3,2,2, Extra classes  Personal counselling  Study materials  Time management tips 
0,1,Management,1,4,2,Private sector job,Unemployed (not currently working),2,3,3,4,3,3,3, Note-taking Self-study Online tutorials,82,2,0,4,4,2,1,0,1,0,1,1,4," Mobile / TV / Laptop   Social media (WhatsApp, Instagram, etc.) ",1,3,4,2,1,1,0,11,2,1,3, Study materials  Group study discussions  More interactive teaching 
0,1,Arts,1,3,3,Farmer,Daily wage labourer,1,1,2,3,2,2,1, Note-taking Group study Self-study Online tutorials Practice tests,55,1,1,4,2,5,1,2,1,2,3,2,11," Mobile / TV / Laptop   Friends  Social media (WhatsApp, Instagram, etc.) ",1,1,2,1,2,2,3,11,4,4,4, Extra classes  Time management tips  Group study discussions 
0,0,Management,1,5,3,Government employee,Government employee,3,2,4,3,2,3,3, Self-study,80,3,0,1,3,3,4,3,2,0,2,1,12, Mobile / TV / Laptop   Family responsibilities ,1,4,3,2,2,3,2,16,2,3,3, Study materials 
1,1,Management,1,5,5,Business,Unemployed (not currently working),4,1,1,2,3,3,3, Group study Self-study,60,1,1,3,3,2,1,1,0,1,1,2,6, Friends  Health issues ,0,0,1,2,1,2,1,7,2,4,3, Study materials  Time management tips 
0,1,Management,1,5,4,Government employee,Business,3,3,4,4,4,3,5, Note-taking Self-study Online tutorials Practice tests,95,3,0,4,4,1,0,0,0,1,1,0,2," Mobile / TV / Laptop   Social media (WhatsApp, Instagram, etc.) ",1,4,4,4,4,4,2,22,2,1,2, Time management tips 
1,1,Science,0,3,3,Farmer,Unemployed (not currently working),2,3,4,3,2,2,3, Self-study,60,1,1,4,3,2,0,0,1,0,2,0,3, Friends ,1,4,3,2,1,3,2,15,2,1,2, Study materials 
0,1,Arts,0,4,4,Government employee,Unemployed (not currently working),2,2,3,2,3,2,2, Note-taking,60,2,1,3,3,2,2,1,1,2,0,1,7, Mobile / TV / Laptop   Friends ,1,4,3,2,3,2,1,15,2,2,3, Group study discussions 
0,0,Commerce,1,3,1,Farmer,Unemployed (not currently working),1,3,3,4,3,4,4, Note-taking Group study Self-study Online tutorials,85,4,0,1,4,1,1,2,1,3,1,3,11, Friends  Lack of interest ,1,1,2,3,2,1,3,12,2,2,3, Study materials  Time management tips  Group study discussions 
0,0,Arts,0,2,2,Farmer,Farmer,2,2,2,2,3,2,2, Group study,75,1,1,3,3,2,0,1,2,3,4,3,13, Friends  Lack of interest ,1,0,1,2,1,2,3,9,2,2,2, Personal counselling 
0,1,Commerce,1,3,3,Government employee,Private sector job,2,3,3,2,2,3,3, Group study Self-study Online tutorials,88,3,0,3,4,1,1,1,1,0,2,1,6, Mobile / TV / Laptop   Friends  Family responsibilities ,1,1,1,1,2,1,0,6,1,2,3, Study materials  Time management tips  Group study discussions 
1,1,Science,0,2,1,Daily wage labourer,Daily wage labourer,1,1,2,3,2,3,2, Self-study,65,2,0,4,3,2,3,2,1,3,1,3,13, Family responsibilities ,1,1,2,1,2,1,3,10,2,2,3, Personal counselling 
